	alpha	elutriation	cdc15	sporulation	heatshock	dithiothreitol	cold	diauxic                                                             
YKL201C                               	-0.0965740963730926                   	-0.62486881369491                     	-0.589445680049508                    	0.043317506131509                     	0.302711402393271                     	0.0223946167918918                    	-0.0506197975790927                   	-0.309208300615196                    
YDR311W                               	0.0760996822893023                    	-0.111080881521045                    	-0.108831858279788                    	0.123567800880254                     	-0.0862134745812824                   	-0.167554415743919                    	0.21397989402404                      	0.12239347336914                      
YGR274C                               	0.160494106427258                     	0.0459539474572945                    	-0.0638344437324754                   	0.077172960298192                     	-0.0191153274861227                   	-0.148523043572763                    	-0.0269894378876256                   	-0.201552843369486                    
YHR178W                               	-0.180454032557129                    	-0.245789817155847                    	-0.136414998449405                    	0.253346702941045                     	0.145699178745286                     	-0.353626937411651                    	0.159296282774383                     	-0.0867414117739138                   
YKR093W                               	-1.0530121975301                      	0.231783627059532                     	0.23601397050392                      	0.266151895246405                     	-0.148399626611328                    	-0.453565278571607                    	-0.414854604397312                    	0.396996605521183                     
YPR113W                               	-0.51325506255665                     	0.0252113471111625                    	-0.0578067013517762                   	-0.0136566971975448                   	-0.0962943626784447                   	-0.171187800494835                    	-0.184715994797099                    	0.157082055781481                     
YPR149W                               	-1.12033080206187                     	-0.288182551766309                    	-0.545777334909632                    	0.41295970751722                      	0.383519637812924                     	-1.21546850173025                     	-0.394258468810034                    	0.791062062893196                     
YJL210W                               	-0.601141543134301                    	0.0156825703798                       	-0.0433026329196123                   	0.289676814064107                     	0.0103670247605408                    	-0.397187033403117                    	-0.0827060175723705                   	0.0229855695718403                    
YDL006W                               	-0.0376621903972454                   	-0.108688531772431                    	-0.100340502442288                    	0.167998171037475                     	-0.158291098805447                    	-0.239371169352175                    	-0.130462465265042                    	-0.115355357809019                    
YLR188W                               	-0.0357114224703244                   	0.102137380067872                     	-0.197533267686959                    	0.253255923102328                     	-0.315633634973393                    	-0.126574157995668                    	-0.399682035789777                    	-0.187999207206248                    
YDL226C                               	0.0413204342206448                    	0.406608450058502                     	-0.245507580479358                    	0.251581389765373                     	-0.113514895510296                    	-0.0190178651646462                   	-0.533233752449474                    	-0.0542628217909091                   
YHR026W                               	-0.137696855432993                    	0.161971139329247                     	-0.032011185357322                    	0.208605213613784                     	-0.141377360411635                    	-0.11526879354765                     	0.0588999567078322                    	0.255347080978527                     
YJL121C                               	0.11989059461064                      	0.332375645784445                     	0.0208855247354231                    	0.190039534708134                     	-0.161519008517829                    	-0.100870324609076                    	0.0660617102926                       	0.029695630600295                     
YML051W                               	-0.248356960851873                    	0.0480427476508984                    	0.112728092563809                     	0.156635278864493                     	-0.208811540641277                    	-0.237534216466953                    	0.178894204004763                     	-0.145468750415353                    
YDR405W                               	-0.00446578024562307                  	0.118660971577813                     	0.0637730759151245                    	0.16983520779394                      	0.050778187301213                     	-0.0343348105458317                   	-0.0781850912345033                   	-0.0931191037478024                   
YBL050W                               	-0.0378840928811432                   	-0.26333072279959                     	-0.246345324455062                    	0.177152805326019                     	-0.139566362166372                    	0.0965750965392198                    	-0.127946173464988                    	0.325319353015068                     
YAL026C                               	-0.121892712265102                    	0.0839359806213095                    	-0.270985613156114                    	0.417493413281806                     	-0.126595080613594                    	0.271058606622246                     	0.564674608518588                     	0.426534395191632                     
YDL245C                               	0.0928997074071197                    	-0.121879231530746                    	-0.48518730576829                     	0.176347519106969                     	-0.00898348354479737                  	0.189570836353559                     	0.168686641623077                     	0.21312577806359                      
YEL013W                               	-0.0609276177714495                   	-0.205056065385584                    	-0.331803960526043                    	0.362187064937684                     	-0.217593001743622                    	0.0183425148391972                    	0.365865835015492                     	-0.0157364577452756                   
YKL157W                               	0.0496712886132031                    	-0.00534114428549348                  	-0.325010485774171                    	0.298523977323531                     	0.234995958616324                     	0.065873670744304                     	0.107963543896867                     	0.381178164468374                     
YGR256W                               	0.053079875624289                     	-0.134662533355602                    	-0.450993825343828                    	0.130019413076483                     	0.233983727657945                     	-0.0635369586182502                   	-0.141530191081928                    	0.298240522444959                     
YOR031W                               	-0.0251284872041691                   	-0.432007563165085                    	-0.340427687335553                    	0.284720808479084                     	0.0166978381642802                    	-0.202037803361349                    	-0.121837178832056                    	0.40091774242556                      
YMR152W                               	-0.284772981277288                    	-0.195322194690301                    	-0.274894073683749                    	0.144689917751942                     	0.295687547133988                     	-0.0106705351420957                   	0.187990118579904                     	0.310118082926025                     
YBR037C                               	-0.136692632913663                    	-0.110239239505735                    	-0.279585554157319                    	0.294811409391945                     	0.0048220542923595                    	-0.069439520462675                    	-0.153439737903858                    	0.225050053205717                     
YDR204W                               	-0.37432060257661                     	0.0152943561173911                    	-0.0641440961244241                   	0.357432914118351                     	0.55768586566462                      	0.088065682438561                     	0.0704518261417245                    	-0.0291863085283469                   
YKR066C                               	-0.263355242328066                    	-0.0242271808377922                   	-0.0283113147907484                   	0.612858588995314                     	0.860310717278927                     	0.393810281775871                     	-0.572593228695045                    	0.552743097516508                     
YDR148C                               	0.0222048410891361                    	0.365635146468025                     	0.370899721321493                     	0.425640196180738                     	-0.265822761212835                    	-0.0072127414757965                   	-0.523381453978174                    	0.339979126603061                     
YBR282W                               	0.094476871783882                     	0.114591749084891                     	0.638672827432768                     	0.280681657104619                     	-0.00211376706567613                  	0.00953594659534113                   	0.154703917498015                     	0.270862826652303                     
YIL111W                               	-0.150434443453692                    	-0.528403355149114                    	0.705264520300557                     	0.284607397047663                     	0.212626872715167                     	0.0816768683598126                    	-0.204533542493818                    	0.81469800514168                      
YLR093C                               	-0.284908354321938                    	-0.348541682090533                    	0.111820839063458                     	0.206330105392293                     	-0.244185172409282                    	0.0450053456879273                    	-0.0932495360432257                   	0.366748208296825                     
YKL142W                               	-0.38744158167342                     	-0.286372799186689                    	0.100518099525158                     	0.308446036387449                     	0.0803060925894364                    	0.605532608804161                     	0.0687913535170968                    	0.61129942686181                      
YOR089C                               	-0.115568769607256                    	-0.0911346453226098                   	0.428170149295689                     	0.199411213389084                     	-0.287538213936263                    	0.071087375256771                     	-0.291084229965944                    	0.279246338214283                     
YNR007C                               	0.0830964580497087                    	-0.202047978830549                    	0.178186679320073                     	0.385693230868349                     	0.0794982146942405                    	-0.102963910617968                    	0.254637338550897                     	0.398253416163066                     
YMR272C                               	-0.444552199802432                    	-0.112259015389294                    	0.446933295086853                     	0.367858791919852                     	-0.0154816778919418                   	-0.05491948846552                     	0.483279109311293                     	0.633917562587157                     
YGR193C                               	-0.0336434223166889                   	-0.040543150088002                    	0.184240486746314                     	0.343651358562926                     	-0.079360178384584                    	-0.0958051971682075                   	-0.0274344831666682                   	0.00589888099856289                   
YNL039W                               	-0.209460429981855                    	0.00183197122799114                   	-0.191861289558662                    	0.157285754774062                     	-0.0050720663344081                   	-0.0353208220209872                   	-0.0488709916723992                   	-0.340204346443054                    
YER042W                               	0.115838511633171                     	-0.0749479791417297                   	0.185166799468532                     	0.38929079274879                      	-0.365221192893002                    	-0.53695753675806                     	-0.143890089530127                    	-0.174089408931032                    
YER112W                               	0.141139312390673                     	0.0132482989732236                    	0.124746323922158                     	0.297802381963599                     	-0.397535461202396                    	-0.054676362348358                    	0.56544499058513                      	-0.127834871725052                    
YGL154C                               	-0.187487508235796                    	-0.0855052712683628                   	-0.146232739154184                    	0.112300805459103                     	-0.334171816016684                    	-0.19088101598493                     	-0.286727420108418                    	-0.242173818572996                    
YKL208W                               	-0.567383982545219                    	-0.224976697358251                    	-0.210227493356253                    	0.18582034532608                      	-0.0614730880236776                   	-0.166838544398943                    	0.161824641962697                     	-0.130820658198411                    
YER068W                               	0.0758872838676322                    	0.059609552191938                     	-0.232186593192054                    	0.395701272064509                     	-0.0424659225269327                   	-0.0012021235792992                   	0.306868373810515                     	-0.298625436414506                    
YCR067C                               	-0.0828101647668935                   	-0.599018028950834                    	-0.302847168441414                    	0.32347842990061                      	0.235879263873358                     	-0.547925226043354                    	-0.0567287922120245                   	-0.104753390093774                    
YER168C                               	0.050561039629036                     	-0.152197198690426                    	-0.27193439334274                     	0.0804220205665383                    	-0.0889441145795217                   	-0.205563132060193                    	0.246889592592206                     	-0.139673197802881                    
YDR508C                               	0.0699884316354637                    	0.346914561748593                     	-0.188904323046125                    	0.344491047203406                     	0.531639378061924                     	-0.182466150929835                    	0.204603533345728                     	-0.728184279010974                    
YIL048W                               	-0.0205020428117193                   	-0.142087857259863                    	-0.343989267140761                    	0.0676676695610709                    	0.0568368477659593                    	-0.146983244830739                    	-0.20800219257538                     	-0.213574254065687                    
YOL135C                               	-0.393095079294557                    	-0.155897293674179                    	-0.104321464340136                    	0.123338114908255                     	0.0412995527883922                    	-0.150886769711835                    	-0.0830395601838875                   	-0.305072024284129                    
YOR290C                               	0.0515800420029533                    	-0.0620709404059127                   	-0.0616891369203991                   	0.164486441843837                     	-0.0788073975221222                   	0.0354153710665501                    	-0.0480450996198595                   	-0.38433537592509                     
YPR104C                               	-0.464269334323893                    	-0.226538267599996                    	-0.0323270487946301                   	0.204752369384836                     	-0.0412222185550469                   	0.222798072365654                     	0.203448442941445                     	-0.420578409132428                    
YBL014C                               	-0.271329247617721                    	-0.360061660245928                    	-0.247306206114131                    	0.0531683780418241                    	-0.0515930570586019                   	0.107191603655279                     	0.427929860925194                     	-0.270674591811983                    
YDR440W                               	-0.137530656877268                    	-0.0412009196296678                   	-0.253441577794498                    	0.123268759168015                     	0.00601395492163441                   	-0.400253123880656                    	0.65854875257817                      	-0.432311459891097                    
YER114C                               	-0.044813237402213                    	0.230253054065198                     	-0.249847076815894                    	0.19599488158198                      	0.0654775181886935                    	-0.544278334285929                    	0.520870954524486                     	-0.259797391216139                    
YDR227W                               	-0.307228628827784                    	-0.0728170543412544                   	-0.192042457079203                    	0.190618479317944                     	-0.115218685201935                    	-0.042249916360095                    	0.45127880912243                      	-0.191892515354743                    
YAL043C                               	-0.266188397569179                    	0.0266262964414579                    	-0.0893436671314567                   	0.185336339153419                     	0.339509679051728                     	-0.561688865676006                    	0.848210445779902                     	-0.46643032116524                     
YER164W                               	0.013329831414573                     	0.00924872764410166                   	-0.315353636201982                    	0.254581684421504                     	0.170258624384323                     	-0.472258975580038                    	0.701443490888501                     	-0.281809619527202                    
YGR270W                               	-0.0809733459580843                   	-0.311844817656059                    	-0.409582463502021                    	0.281062951281597                     	0.323218322330388                     	0.0101707759012633                    	0.318063048551901                     	-0.202372872061067                    
YLR430W                               	-0.360004876873153                    	0.0277042379675739                    	-0.186618034793812                    	0.129749586917335                     	0.12538273408427                      	-0.629237405227424                    	0.665499085520617                     	-0.308601184988615                    
YBR275C                               	-0.0160005568550888                   	-0.22467694274492                     	-0.0987994877129227                   	0.213227483768715                     	-0.322066148190846                    	0.467774649419056                     	-0.29913848758645                     	-0.219463206828342                    
YPR122W                               	0.130985042476768                     	-0.545084248396075                    	-0.426174959510821                    	0.453450691695424                     	-0.0743965918514712                   	-0.441179353602871                    	0.645120645617555                     	-0.202653978905019                    
YDR207C                               	0.343536911705398                     	-0.503140594614346                    	-0.167049704386128                    	0.299753379994746                     	-0.033339317681793                    	-0.174456496070008                    	0.293030458344578                     	-0.0447347724248677                   
YER105C                               	-0.246450122176407                    	-0.390616663621994                    	-0.185146700585508                    	0.183702036538128                     	-0.192853356747159                    	-0.0084553860746225                   	0.103775194779456                     	-0.342975766651323                    
YGL212W                               	-0.331543918882428                    	-0.286381222690038                    	-0.19605304610274                     	0.174778952168917                     	-0.0823217617098003                   	-0.246691966880043                    	-0.314985864545505                    	0.184662880282365                     
YDR160W                               	-0.153823686044604                    	-0.302727100833394                    	-0.374237028235429                    	0.261256458163157                     	0.273498236841033                     	-0.0972504468646687                   	0.410949597556254                     	-0.17225082287985                     
YDR082W                               	-0.210458362752807                    	-0.412297208776614                    	-0.327259123382197                    	0.180777079440646                     	0.090123726481306                     	-0.325100139664681                    	0.227525295998547                     	-0.197603083229656                    
YOR032C                               	-0.473876846270725                    	-0.392080259897816                    	-0.0713543275231261                   	0.211131274075269                     	0.2620457784437                       	-0.470273445623218                    	-0.0373432570150277                   	-0.0268974010411866                   
YOL025W                               	-0.429662326358662                    	-0.153830201844556                    	-0.0725150819501919                   	0.203119291513006                     	0.24979148057761                      	-0.245624913365833                    	-0.141994061486657                    	-0.283033302427259                    
YDR106W                               	-0.133027875221805                    	-0.166402238484982                    	-0.672846027031655                    	0.191186651254649                     	-0.214444968759929                    	0.103976936106142                     	-0.292596997758264                    	-0.251409439428379                    
YNR058W                               	-0.322411161636486                    	-0.422999157603301                    	-0.492778218525773                    	0.272397866518203                     	0.083027092292834                     	-0.154439112423697                    	-0.145453540353141                    	-0.422993305517168                    
YPR106W                               	-0.914758081191491                    	-0.321117630168567                    	-0.193526373502464                    	0.320910869724925                     	-0.257312393676423                    	-0.161813937977601                    	0.260535395237039                     	0.160506500443008                     
YDR362C                               	-0.41916768124703                     	-0.0422156543392338                   	-0.182655581482752                    	0.324419519954419                     	0.132364850045007                     	-0.176631124117954                    	0.432212818366567                     	-0.0168023601943434                   
YOR237W                               	-0.146754202146448                    	-0.507350354474063                    	-0.417826643653002                    	0.364339536694171                     	-0.223487989070672                    	-0.270234679225198                    	-0.400096671250403                    	0.047026132795625                     
YKR101W                               	-0.641545010489216                    	-0.62511426742452                     	-0.350254256987541                    	0.488424335923927                     	0.16202729571179                      	-0.12469668409092                     	-0.379276564937012                    	0.109013305981015                     
YBL021C                               	-0.447363037049439                    	-0.0348164420742023                   	-0.0510991733767468                   	0.396685092493426                     	0.211775772399142                     	-0.129950909622914                    	0.0339735595172002                    	-0.159186106088331                    
YOR025W                               	-0.197134273763651                    	-0.170758805041077                    	-0.59354987888556                     	0.533695973553512                     	0.0070831801506159                    	-0.272706461416342                    	-0.0686924009333617                   	-0.0908796314526044                   
YNL270C                               	-0.142070723350669                    	-0.0312156305337867                   	-0.224073504054629                    	0.40279235705224                      	-0.200466435302151                    	0.2733953187483                       	-0.081957356804697                    	0.242198398593809                     
YOR278W                               	-0.357342848053477                    	-0.195776610648232                    	0.359255020831734                     	0.294380733008533                     	-0.282246433629309                    	-0.138365774678009                    	-0.101670159571316                    	-0.209889411138275                    
YBR257W                               	-0.79097424547844                     	-0.389600062577142                    	0.110471447782431                     	0.623242872882636                     	-0.280569022326853                    	-0.341605701618657                    	-0.0117985268499345                   	-0.0954749733377226                   
YOL103W                               	0.114381679267685                     	-0.287440402790309                    	-0.277129347759292                    	0.320704632384302                     	-0.234571150019453                    	-0.10519256669195                     	0.179067491700182                     	-0.197292467618031                    
YNL216W                               	-0.280295725579791                    	-0.155138829530798                    	-0.260147203286498                    	0.472692854688634                     	-0.212214670657705                    	-0.219907572972732                    	-0.169601349653213                    	-0.719747246728667                    
YER129W                               	-0.210829401419511                    	0.0302736076244034                    	-0.574516448928796                    	0.440390465622169                     	-0.330983738731341                    	-0.0320791404588317                   	0.201159500736217                     	-0.485002119733665                    
YOL067C                               	-0.0124866415292675                   	-0.187051224935173                    	-0.534835927583531                    	0.299920237719611                     	-0.174296636675325                    	-0.39755172257886                     	-0.318357010129924                    	-0.330137619746617                    
YPL128C                               	-0.492153959549972                    	-0.123561159746266                    	-0.333324381725318                    	0.324332001849845                     	-0.151206223657936                    	-0.252175811522689                    	-0.0216025557681933                   	-0.186149988241151                    
YOR188W                               	-0.22549273499663                     	-0.120665073032122                    	-0.191029695167236                    	0.37987895933863                      	-0.0166430685771023                   	-0.226242359025444                    	0.105612816663746                     	-0.157598251810744                    
YOR034C                               	-0.0186408213066761                   	-0.213572928175214                    	-0.156506302160199                    	0.250098414767536                     	0.0676208417627307                    	-0.318738339598952                    	-0.447146935382077                    	-0.0263390948300836                   
YAL067C                               	0.0916807508185474                    	-0.496985510132436                    	-0.559253581467957                    	0.621388695587237                     	0.0933157234469698                    	-0.427834431171997                    	0.324326505754566                     	-0.652048673066543                    
YML097C                               	-0.381703157637164                    	-0.303113731111262                    	-0.218980835151879                    	0.209405596355021                     	-0.26743608044519                     	-0.189341217242906                    	0.154143990682733                     	0.020224877754622                     
YDL065C                               	-0.128209627407512                    	-0.342850393878925                    	0.217606277000247                     	0.0593646116531994                    	-0.0977162531989432                   	-0.160193097196523                    	-0.0141685619042722                   	-0.111701247098343                    
YKL196C                               	-0.0594337289912631                   	-0.00276782564533316                  	0.0924634887946543                    	0.298522854685947                     	-0.282648253830788                    	-0.108690881377776                    	-0.125696812293254                    	-0.11515901827315                     
YML098W                               	-0.217658260782218                    	0.137196276372964                     	0.259352801798526                     	0.334450672367791                     	-0.240802382355597                    	-0.127560169470824                    	-0.426270353691628                    	-0.0993896101600629                   
YGL210W                               	-0.131320108007986                    	0.184106629621229                     	0.239988884143219                     	0.472085691866805                     	-0.138678925354405                    	-0.0541360820879988                   	-0.302890479944365                    	-0.282876671548814                    
YDL064W                               	-0.267617105097415                    	-0.0366881555099306                   	0.0684302371421083                    	0.477182182944056                     	-0.437513234224415                    	-0.339431073570712                    	-0.325341614455029                    	-0.528211970078995                    
YEL003W                               	-0.194959534813368                    	-0.0187759739714001                   	-0.017513943394896                    	0.326800459767265                     	-0.107576262013194                    	-0.0557299088560588                   	-0.155452095570158                    	-0.463214792042972                    
YJL013C                               	0.157537936193407                     	-0.096563277240075                    	0.154147624143898                     	0.164109646865773                     	-0.0664945163258404                   	-0.0671433293561482                   	-0.0647859460057128                   	0.00323873762627366                   
YER016W                               	-0.00900533082095586                  	-0.35233793444559                     	-0.0470792796188323                   	0.470887416993868                     	-0.206792481527123                    	-0.137460805241907                    	-0.529883845468396                    	0.00341959790805882                   
YBR049C                               	-0.278781578806457                    	-0.0916199148749262                   	-0.0496771541792862                   	0.341817118506072                     	-0.194200243655043                    	-0.191488831277834                    	0.108031603966656                     	-0.469913232277149                    
YNL126W                               	-0.116850806402203                    	-0.324862463764379                    	-0.316894227508133                    	0.601557387099231                     	-0.238632786329683                    	-0.648498396509232                    	-0.140326348429073                    	-0.351023793212706                    
YLR191W                               	-0.174227138378896                    	0.00988466601233114                   	0.304166720404401                     	0.442140391547618                     	0.0414406612799215                    	-0.264710313563024                    	0.181837198653704                     	0.0815771308505825                    
YGL205W                               	-0.0621683038127215                   	-0.183509269864129                    	-0.0951711299620322                   	0.624490753363533                     	-0.0265524441759273                   	-0.106151564154087                    	0.0813380584391745                    	0.0501066819522031                    
YNR034W                               	-0.439566958623215                    	-0.0548120375099808                   	0.0884943479114624                    	0.923785921592905                     	0.315029686392156                     	-0.0802316186633515                   	0.374710747914817                     	-0.0897136157705289                   
YFL011W                               	0.562042103014609                     	-0.387900330185028                    	-0.275860064082573                    	1.07084881291085                      	0.0368665002834917                    	-0.425416677006889                    	0.341830493774005                     	-0.0642555714844751                   
YBL084C                               	0.310631314526359                     	-0.545140027025027                    	-0.173700131244558                    	0.748098082825838                     	0.191229973470739                     	-0.515049172200492                    	-0.0809996888723536                   	-0.388899468804707                    
YGL162W                               	-0.175366909580177                    	-0.243765124799019                    	-0.0345782841133197                   	0.473264097300268                     	-0.0303851499679935                   	-0.223797590847319                    	-0.290385286837903                    	-0.281661336636401                    
YGL003C                               	-0.161725095612031                    	-0.297748588702693                    	0.0657950608085118                    	0.275515699796208                     	-0.0176052971270717                   	-0.191070114076056                    	0.0393618897232234                    	-0.0727694211888004                   
YIL045W                               	-0.375452147362304                    	-0.278930544343891                    	0.0806303132762599                    	0.635551578620242                     	-0.036533539330882                    	-0.0691288593129687                   	-0.173143369455399                    	-0.0235715769251518                   
YKR002W                               	0.135813653095231                     	-0.0812791230094227                   	-0.225540417946457                    	0.408333910157658                     	-0.124970426089502                    	-0.124845261162518                    	-0.150007772682607                    	-0.145953866624498                    
YOL068C                               	-0.560622767714589                    	0.0140967510387025                    	-0.28467539318775                     	0.436393630737048                     	-0.363275548331873                    	-0.178211443879505                    	0.0288323694227502                    	-0.393513816080169                    
YMR125W                               	-0.213539026614628                    	-0.275228948175692                    	-0.231468076540107                    	0.515373813187123                     	-0.569342359313218                    	-0.560081531901437                    	-0.305403392875707                    	-0.306036491666335                    
YDL080C                               	-0.406558867570262                    	0.0941568820792482                    	-0.159230078155751                    	0.46874885492309                      	-0.324788736953834                    	-0.161894980016655                    	-0.134415258963611                    	-0.0527354083907819                   
YKR019C                               	-0.171086161039724                    	-0.349380882690076                    	-0.331931675691706                    	0.469598356029367                     	0.0264023310133922                    	-0.372658309582806                    	0.227961170062511                     	-0.335559732416804                    
YDR191W                               	-0.164818180931805                    	-0.272472176997879                    	0.0495128323941563                    	0.643033973480255                     	-0.179186384906189                    	0.0440193342127715                    	0.0269797839770173                    	-0.20670957902105                     
YFR028C                               	-0.419766507550955                    	0.0412999114536638                    	-0.339725614962038                    	0.914987647403508                     	-0.100840132476879                    	-0.228349452040846                    	-0.287103922622142                    	-0.286306030165696                    
YJR099W                               	-0.178636071828389                    	-0.441712305700896                    	0.275178837813869                     	0.750398955915305                     	-0.063867483012823                    	-0.205563132060193                    	-0.361486821163566                    	0.247091143805139                     
YLR102C                               	-0.543260249961094                    	-0.182882627624577                    	-0.145237604738917                    	0.559032947255097                     	-0.0463627203891003                   	-0.310445037602437                    	-0.151352079734812                    	-0.0341608112554174                   
